id,temporada,liga,xG,npxG,npG-xG,npxg_goals,shots,np_shots
7amefftr5evwcnzm718rfh9n8,2025-2026,Bundesliga,6.3,6.3,-1.3,5,46,46
9x0s8mzjc9ey0q812sn3poums,2025-2026,Bundesliga,5.87,5.87,-2.87,3,54,54
68rs7juin2mmdok00hw6uvre2,2025-2026,Bundesliga,5.85,5.85,-0.85,5,62,62
8828sbg7wzgjbs1727j0rx84q,2025-2026,Bundesliga,5.85,5.85,0.15,6,48,48
4ysxvym6ww4f9d3hflkqsbf11,2025-2026,Bundesliga,5.68,5.68,2.32,8,50,50
4v1bqelw9bk1gftvzwzk6w6w9,2025-2026,Bundesliga,5.63,5.63,-0.63,5,31,31
1ywfkwrcysdlvkt859q00kt7t,2025-2026,Bundesliga,5.34,5.34,-0.34,5,46,46
14fw7p4fzaxprndgxnx0gxgbt,2025-2026,Bundesliga,5.29,5.29,4.71,10,56,56
3nok8qxxj2zl831wgvc7abxuc,2025-2026,Bundesliga,5.27,5.27,-2.27,3,42,42
ftm7a5ulllwzj3n6oqa6awru,2025-2026,Bundesliga,5.08,5.08,-0.08,5,32,32
dgubl900t52nssngev6atayju,2025-2026,Bundesliga,5.81,5.02,-2.02,3,32,31
9ic8hvnkzj9p0ikh6bwaeoqju,2025-2026,Bundesliga,4.95,4.95,0.05,5,35,35
57c808184l80uuuv7z3flcu6t,2025-2026,Bundesliga,4.9,4.9,2.1,7,43,43
8kar47kxxc8f20vc9ul2ez3yt,2025-2026,Bundesliga,4.84,4.84,1.16,6,33,33
6hotzhpidcjljm3u0ud1uqsid,2025-2026,Bundesliga,4.78,4.78,1.22,6,28,28
3ynh418z6f6bfjz674vs40f6x,2025-2026,Bundesliga,4.76,4.76,-2.76,2,43,43
25vb30mtetefhp3ix26nlhx0q,2025-2026,Bundesliga,4.74,4.74,1.26,6,34,34
cywgibmici8hwp1ad1nhk3ufp,2025-2026,Bundesliga,4.65,4.65,-1.65,3,29,29
f4qcgzveslklfi8601tep77x1,2025-2026,Bundesliga,4.59,4.59,2.41,7,37,37
7c6034wb3zsuq9nhxxiahiuol,2025-2026,Bundesliga,5.38,4.59,0.41,5,29,28
5bnq6c53ofgo9msqn3vlobpm2,2025-2026,Bundesliga,5.3,4.52,-3.52,1,47,46
7ngbzn51z20j8s1drzdtwiove,2025-2026,Bundesliga,5.29,4.51,0.49,5,39,38
b4q9q0qgmtz959rygieg9ln1l,2025-2026,Bundesliga,7.58,4.44,-3.44,1,57,53
ebj6t5jqzixrnww1z7qofznu2,2025-2026,Bundesliga,4.44,4.44,2.56,7,31,31
6ki6rv564ybctrajr2xtgyeax,2025-2026,Bundesliga,4.43,4.43,-0.43,4,36,36
8mkkchf0ysdf78r0lncd73klw,2025-2026,Bundesliga,4.36,4.36,-0.36,4,61,61
4w4ldzomkj7fhrc51iimz8no5,2025-2026,Bundesliga,4.35,4.35,0.65,5,35,35
dw9fzixumboknmucqgqffurmy,2025-2026,Bundesliga,4.28,4.28,1.72,6,30,30
bsyv3fmihshve4jcr11qmtmfp,2025-2026,Bundesliga,4.24,4.24,-1.24,3,34,34
3havaatbnk8p6gc9srgajc25l,2025-2026,Bundesliga,4.21,4.21,2.79,7,45,45
bh8t0fz0czhgepa3rskdxmt7u,2025-2026,Bundesliga,4.19,4.19,-1.19,3,30,30
630sqbiu7utmkg8yw0h4ky8a2,2025-2026,Bundesliga,4.17,4.17,-1.17,3,29,29
53nd6a4o02ebb0w2s12prijje,2025-2026,Bundesliga,4.15,4.15,-0.15,4,38,38
eolso19u03zxw2pca2i95v4dl,2025-2026,Bundesliga,5.66,4.09,-0.09,4,71,69
c2p36c1bs0hddw58lf48iy68k,2025-2026,Bundesliga,4.03,4.03,0.97,5,48,48
7w63iqek6hmnizlirurla1cr9,2025-2026,Bundesliga,10.31,4.03,-0.03,4,55,47
bt35y17wl42b5t5tw6z68uwyy,2025-2026,Bundesliga,4.01,4.01,2.99,7,49,49
anycrq4ug1ee012dw68tpsh2i,2025-2026,Bundesliga,4.78,3.99,0.01,4,21,20
81qmlg0ttijhkywm55ejdr40k,2025-2026,Bundesliga,4.77,3.98,1.02,5,32,31
6g4cnzr3dh0veul5svzkhmxw4,2025-2026,Bundesliga,3.98,3.98,1.02,5,51,51
4j8y1bwt6z8iu98077xqzmvx0,2025-2026,Bundesliga,3.96,3.96,-1.96,2,43,43
7o11dzx2cccrslutrjl16ik89,2025-2026,Bundesliga,3.95,3.95,1.05,5,41,41
6b7p3ncup75mpop91n0u1mw2d,2025-2026,Bundesliga,3.84,3.84,1.16,5,42,42
bwqqecmqm76v5b83v1cz891p1,2025-2026,Bundesliga,3.83,3.83,0.17,4,30,30
f5ln82l8q7gvouj3zhsp5t4gl,2025-2026,Bundesliga,3.79,3.79,-0.79,3,44,44
12f4mz064elnxecq2srl7r6j9,2025-2026,Bundesliga,6.13,3.78,1.22,5,60,57
bhsdzppop8jwjsxwftizot1t6,2025-2026,Bundesliga,4.55,3.76,-1.76,2,30,29
6qj9kdcrum9mqla72ytoojje1,2025-2026,Bundesliga,3.66,3.66,-0.66,3,43,43
1en0bgq0u842snszevlkscxk9,2025-2026,Bundesliga,3.64,3.64,0.36,4,22,22
euywniqwcq40dqoo55xni961h,2025-2026,Bundesliga,3.63,3.63,-1.63,2,31,31
ag6hkplnlodzxqrs9fh7mka5m,2025-2026,Bundesliga,3.6,3.6,0.4,4,36,36
9heh3f6hvyp4sgbu0ft4xfh05,2025-2026,Bundesliga,3.6,3.6,-1.6,2,37,37
3hd9nxdb54zn4fhbf7qa7x0q1,2025-2026,Bundesliga,3.59,3.59,-1.59,2,27,27
4qrvwap878sl5dz5n3o8mr71m,2025-2026,Bundesliga,4.36,3.57,2.43,6,59,58
6a0w73agnkslcc6gea1jxxzvt,2025-2026,Bundesliga,3.54,3.54,-1.54,2,24,24
7a12t0i88yxasiu0cj0sgqpzo,2025-2026,Bundesliga,3.53,3.53,1.47,5,33,33
3es8fg7y59lckypu11i68q6s5,2025-2026,Bundesliga,5.06,3.49,-0.49,3,26,24
8k5rritl3k05hubghapadgx61,2025-2026,Bundesliga,5.81,3.46,-1.46,2,51,48
edgnkgpt7a6rzffcd012sqfpw,2025-2026,Bundesliga,3.42,3.42,-1.42,2,26,26
5d3stmq3pgka4qhdfoff35t9m,2025-2026,Bundesliga,3.36,3.36,0.64,4,26,26
c4hif6j7tldh0w7oeq8v9pcve,2025-2026,Bundesliga,3.36,3.36,0.64,4,18,18
cdlnfuy9piyga0wud4nrucvtg,2025-2026,Bundesliga,3.34,3.34,1.66,5,27,27
aplc9mad75h1k90o3qla9c7l6,2025-2026,Bundesliga,3.33,3.33,0.67,4,24,24
bytrobr8rfp9zwbxzopr4vgno,2025-2026,Bundesliga,3.32,3.32,1.68,5,36,36
d5mck7rf48chzersephpx29d5,2025-2026,Bundesliga,3.26,3.26,1.74,5,32,32
byn8dfwg5zdefrca7wgn32qne,2025-2026,Bundesliga,3.25,3.25,0.75,4,35,35
9b7iei751ersl6ny0o0k8gn3d,2025-2026,Bundesliga,3.21,3.21,0.79,4,17,17
djha3ac2mfhyb7oia64hq2nd,2025-2026,Bundesliga,3.15,3.15,1.85,5,29,29
90wsjxdc3ibvah5gm9tnsjwbu,2025-2026,Bundesliga,3.15,3.15,-0.15,3,22,22
23l48u4w5nj4036whjm3s49gp,2025-2026,Bundesliga,3.14,3.14,-1.14,2,30,30
684cguhktvth28ql6qgvvmcyc,2025-2026,Bundesliga,3.11,3.11,-1.11,2,35,35
bibz1qxakmbflq73marmo4nop,2025-2026,Bundesliga,3.03,3.03,-2.03,1,19,19
oivi495h0xuu6sw8i1ra6dpl,2025-2026,Bundesliga,2.95,2.95,0.05,3,30,30
280u0x6o94auqt5e8ff89xune,2025-2026,Bundesliga,2.94,2.94,-1.94,1,22,22
7jpasvui43tnyao6ijyuuyuqc,2025-2026,Bundesliga,2.91,2.91,1.09,4,42,42
dt8k9pwcj3zktd8xk3ai98vyt,2025-2026,Bundesliga,2.91,2.91,-1.91,1,24,24
4o71xxq6qdkhug58a073fxega,2025-2026,Bundesliga,2.9,2.9,0.1,3,26,26
17iz3i6kzdxc115bdlgcgqdck,2025-2026,Bundesliga,2.86,2.86,-0.86,2,27,27
acrwmucmu5zajj159f30of384,2025-2026,Bundesliga,2.84,2.84,0.16,3,12,12
4baqlwfu312pctopy1cx6s2c5,2025-2026,Bundesliga,2.82,2.82,-0.82,2,20,20
eapihgte8ydc4g6hzygsx2e39,2025-2026,Bundesliga,2.77,2.77,-0.77,2,20,20
4rhyl8q31wceeq2dnaep9t3x0,2025-2026,Bundesliga,2.75,2.75,1.25,4,27,27
alp8twr3g2rmfmnguffsfovtg,2025-2026,Bundesliga,2.75,2.75,-2.75,0,13,13
4a59itr8bwm9auhz9f2dno104,2025-2026,Bundesliga,3.53,2.74,4.26,7,41,40
6ie5meimavc8kwohr6lrdyket,2025-2026,Bundesliga,2.72,2.72,2.28,5,12,12
4sd2zs6d5cd4d9n3oo54lglat,2025-2026,Bundesliga,2.69,2.69,0.31,3,21,21
83usrrx99pkiihnkz44dt2gru,2025-2026,Bundesliga,4.22,2.64,1.36,4,38,36
2jk8zu0m0tf7if0pyrkbo82xh,2025-2026,Bundesliga,2.6,2.6,-0.6,2,19,19
c9e54hwefvwos94ri459uylbe,2025-2026,Bundesliga,2.55,2.55,-0.55,2,12,12
arjwwth6yazptr851wu2u6e0a,2025-2026,Bundesliga,2.54,2.54,1.46,4,22,22
8im7pgnph2au11blma5pewe09,2025-2026,Bundesliga,3.29,2.51,-0.51,2,24,23
6rxd6ltpl30qmksb5fkwrl756,2025-2026,Bundesliga,2.48,2.48,-1.48,1,22,22
7rltyxkrvvfg7q1hppl631soa,2025-2026,Bundesliga,2.48,2.48,0.52,3,28,28
cmbd33qb8zs7wi7ryhy28yycq,2025-2026,Bundesliga,2.44,2.44,-1.44,1,25,25
5w7ztsau360j3zd1aai33d4b8,2025-2026,Bundesliga,2.44,2.44,-1.44,1,14,14
3e79d5436l57bfj3ywbjvfr6y,2025-2026,Bundesliga,2.41,2.41,-0.41,2,11,11
6384gzzxuxs6pvmrn8qx4d7u1,2025-2026,Bundesliga,3.17,2.38,-0.38,2,33,32
2az0f39bhz2kvxhopalzi0h5h,2025-2026,Bundesliga,5.5,2.36,0.64,3,30,26
7snt4uu7f2d0g7utjm2xfis8a,2025-2026,Bundesliga,2.33,2.33,-0.33,2,23,23
1qthvf5krys0pzk24h8wtr9at,2025-2026,Bundesliga,2.32,2.32,0.68,3,17,17
7hnmtyfmurizitwz1whecjnmy,2025-2026,Bundesliga,3.11,2.32,-0.32,2,17,16
vzbmf6lqvbw398clnt7jyiqy,2025-2026,Bundesliga,2.32,2.32,-0.32,2,21,21
1sun9nitagc7ikkpwzrdkj179,2025-2026,Bundesliga,2.32,2.32,-0.32,2,10,10
2udtmz4lvh4vil16mxvo0j4l,2025-2026,Bundesliga,2.31,2.31,0.69,3,30,30
bqjrib66m08p1qw8315ljc38q,2025-2026,Bundesliga,2.31,2.31,0.69,3,25,25
84mp3eqt1ckw107hwxpby9cd1,2025-2026,Bundesliga,2.31,2.31,0.69,3,19,19
725lp72qyqzvbul0aarhvi99m,2025-2026,Bundesliga,2.3,2.3,-1.3,1,8,8
8h7u0a26g2yckx955e1g2kdbe,2025-2026,Bundesliga,2.3,2.3,-0.3,2,18,18
awda32rw2clw0sjemf7rkcel1,2025-2026,Bundesliga,5.33,2.19,-2.19,0,38,34
1vv29mash2uijx542ssjk666t,2025-2026,Bundesliga,2.19,2.19,2.81,5,23,23
cr4e64yry1ttwcjxh2klb4ui2,2025-2026,Bundesliga,2.17,2.17,1.83,4,18,18
amd4rodp6senk2c1mmlsqozpx,2025-2026,Bundesliga,2.15,2.15,-0.15,2,14,14
d608s0948uh3owqee7t0en7px,2025-2026,Bundesliga,2.15,2.15,-0.15,2,15,15
bc5vmdnoyshdi5hcgu8dgqxyi,2025-2026,Bundesliga,2.1,2.1,-2.1,0,47,47
etfmz143p0d2yowiiijd8g6sq,2025-2026,Bundesliga,2.08,2.08,-1.08,1,11,11
dqrzogrwznyks6whhfhq748ut,2025-2026,Bundesliga,3.57,2.0,1.0,3,17,15
7kjhx78gpi6m3r4j1b4jdyh91,2025-2026,Bundesliga,1.96,1.96,0.04,2,23,23
bx6j2y1hnu63lawn3rdoep1m2,2025-2026,Bundesliga,1.95,1.95,0.05,2,24,24
25rjy5k2ogin7zcxqhwflls2y,2025-2026,Bundesliga,1.94,1.94,1.06,3,19,19
4lg41m643jf18dgax298bufpw,2025-2026,Bundesliga,1.91,1.91,1.09,3,29,29
e7if3ma2jblaurrokcxadk0k5,2025-2026,Bundesliga,2.69,1.9,0.1,2,16,15
43eq31reskwn9veb3vickralm,2025-2026,Bundesliga,1.9,1.9,0.1,2,16,16
4z9prwdr22kb7vpemekkzqooa,2025-2026,Bundesliga,1.89,1.89,-0.89,1,19,19
3saz8njlttx2i4ospcwmmaqga,2025-2026,Bundesliga,1.88,1.88,0.12,2,23,23
6go1e6kiezmwexizbpo7pp0yc,2025-2026,Bundesliga,1.88,1.88,-0.88,1,16,16
ad2qplv0aa66l11ipq6yh0hd5,2025-2026,Bundesliga,1.86,1.86,-1.86,0,30,30
97nv3y9z2ajz6b4ynoo0jn3kl,2025-2026,Bundesliga,1.86,1.86,0.14,2,28,28
1s1v1tweyx8wxc9hj2jrnaggl,2025-2026,Bundesliga,1.78,1.78,1.22,3,21,21
58d87tochcm6hk4n6l7ua7jvu,2025-2026,Bundesliga,1.77,1.77,1.23,3,17,17
6sj31v61vtwwxe5hhwkj80g7o,2025-2026,Bundesliga,1.76,1.76,1.24,3,30,30
5ql70wwevaoqpxabylew5f696,2025-2026,Bundesliga,1.74,1.74,0.26,2,18,18
diyzb2gwf1zkvqyjc63085eui,2025-2026,Bundesliga,1.74,1.74,0.26,2,11,11
a3ib09ji7qsz6cgj3vmz5qort,2025-2026,Bundesliga,1.74,1.74,0.26,2,18,18
6q2mf0qrkt51z28b46wltxal1,2025-2026,Bundesliga,4.87,1.72,0.28,2,31,27
di9k6xr6j4arjoltl7s9yp6cq,2025-2026,Bundesliga,1.69,1.69,-0.69,1,37,37
3pzwmymhpa20k8i6760xg5puc,2025-2026,Bundesliga,1.69,1.69,1.31,3,11,11
46vm60m1v8o9t0aesa0bpr42y,2025-2026,Bundesliga,1.68,1.68,0.32,2,20,20
afk5qdami9yzapywig6ds4quh,2025-2026,Bundesliga,1.65,1.65,-1.65,0,12,12
32ko5zzk7805mp4q4n3iwiihg,2025-2026,Bundesliga,1.65,1.65,-0.65,1,9,9
5a9y4yka5m1ft3f4e16f3ycfe,2025-2026,Bundesliga,1.64,1.64,-0.64,1,17,17
2znc8bmjc183pmz1xe1j8z0fd,2025-2026,Bundesliga,2.42,1.64,-1.64,0,28,27
3mp7p8tytgkbwi8itxl5mfkrt,2025-2026,Bundesliga,1.64,1.64,-0.64,1,11,11
f0x3pa532agezdjdzcsp94l49,2025-2026,Bundesliga,1.63,1.63,0.37,2,27,27
7c8ms7bw3fva4xeubax4ep8et,2025-2026,Bundesliga,1.62,1.62,-0.62,1,10,10
92wxhgs6ts4tl5bv3heso90fe,2025-2026,Bundesliga,3.96,1.6,-0.6,1,29,26
743i0lyudasctc2cmxz851hxw,2025-2026,Bundesliga,1.6,1.6,-0.6,1,9,9
1zumt9vkrqd8d3p3eqtwezi6t,2025-2026,Bundesliga,1.59,1.59,1.41,3,15,15
bf6s84lavpij33riqec7y8445,2025-2026,Bundesliga,1.58,1.58,-0.58,1,17,17
375gnysvjk9bvq02ex1lkmynd,2025-2026,Bundesliga,1.58,1.58,3.42,5,19,19
7zbu2y3nlj4dyhe1qdj15g3xl,2025-2026,Bundesliga,1.57,1.57,0.43,2,25,25
6wpahdttyk7458xipbx7lk1lg,2025-2026,Bundesliga,1.56,1.56,0.44,2,8,8
cjznkoq68kxguutsoysecwbh0,2025-2026,Bundesliga,1.55,1.55,-0.55,1,9,9
3v695dpbm6bdgifkyhlie6kbu,2025-2026,Bundesliga,1.53,1.53,-0.53,1,31,31
307whzq643o50rd4g8niobyay,2025-2026,Bundesliga,1.52,1.52,-1.52,0,19,19
9fd19beamnr8qmhqdvzr7fcyy,2025-2026,Bundesliga,1.49,1.49,-0.49,1,8,8
e30x514qvzadcryj2zhoss26s,2025-2026,Bundesliga,1.48,1.48,1.52,3,15,15
eswxx8pxqyuj7rnpvqawpej1l,2025-2026,Bundesliga,1.48,1.48,-0.48,1,9,9
6dtp194pewnyuhwkxcn2xpf8q,2025-2026,Bundesliga,1.47,1.47,-0.47,1,24,24
hsobzlp177f9755mpsi7szmy,2025-2026,Bundesliga,1.46,1.46,-1.46,0,31,31
3uqn1adw8rarez1gpen9vng7p,2025-2026,Bundesliga,1.46,1.46,0.54,2,16,16
w0wt7gjkdddn63a4258j8frp,2025-2026,Bundesliga,1.45,1.45,-0.45,1,12,12
2ciak27414tln8ac4t4xj38id,2025-2026,Bundesliga,1.44,1.44,-1.44,0,19,19
2uz1cmslnjjzsgfcgji26kqg9,2025-2026,Bundesliga,2.19,1.41,0.59,2,24,23
8qlz4omhgfnzyb2cgeou7xn56,2025-2026,Bundesliga,1.41,1.41,-0.41,1,15,15
33rjtcl9kkwdlp34oqn4dkx9m,2025-2026,Bundesliga,1.4,1.4,1.6,3,18,18
1px9whllb1pnprmgq4fjw3qhh,2025-2026,Bundesliga,1.38,1.38,-1.38,0,23,23
65v1s740zfmpwkc0z1v3aisd0,2025-2026,Bundesliga,1.37,1.37,-1.37,0,12,12
9u0jnvttp25l5bp2pvx7pces,2025-2026,Bundesliga,1.37,1.37,1.63,3,10,10
4j9ug0ng9dhx6xwhdwx6fafx0,2025-2026,Bundesliga,1.36,1.36,-1.36,0,15,15
f2o5hj0e2k3kw0fj1xzom0cet,2025-2026,Bundesliga,2.15,1.36,-0.36,1,23,22
ejuw5de99fjgrxdn79aulbm96,2025-2026,Bundesliga,1.36,1.36,-0.36,1,7,7
eg5haueyvosx3euq9e0ogdj6y,2025-2026,Bundesliga,1.35,1.35,-0.35,1,15,15
16idj1wxzcbvuaov5duvpqhyi,2025-2026,Bundesliga,1.33,1.33,-1.33,0,7,7
cnf7quyillyf560nh14taliw9,2025-2026,Bundesliga,1.33,1.33,0.67,2,20,20
3g9riero16s160evc28u3q3u1,2025-2026,Bundesliga,1.32,1.32,-1.32,0,10,10
elwm97xvha0y0t8yqx5sur9ck,2025-2026,Bundesliga,1.32,1.32,0.68,2,13,13
514es9hzl2skv9dl5cofgkogl,2025-2026,Bundesliga,1.31,1.31,-1.31,0,22,22
5g5ml1wwa9dfhsh55hv7br45x,2025-2026,Bundesliga,2.05,1.26,0.74,2,25,24
5irixhhyayq9yl7sb2kohjrv9,2025-2026,Bundesliga,1.26,1.26,-0.26,1,14,14
avg54tzd7cxjld09569czfgus,2025-2026,Bundesliga,1.23,1.23,0.77,2,2,2
3akb6xex1efr9ypj8yxr2uf4k,2025-2026,Bundesliga,1.22,1.22,-0.22,1,9,9
mgwgcv336wb93xvv0pfr6dih,2025-2026,Bundesliga,1.22,1.22,-1.22,0,18,18
39tod1iad3ztq17qveh8pwp9l,2025-2026,Bundesliga,1.22,1.22,-1.22,0,25,25
4rtps64cca8vrscv80bgyvjf8,2025-2026,Bundesliga,1.21,1.21,0.79,2,18,18
bvifdvoxv9e8nq8qe37c0gvrp,2025-2026,Bundesliga,1.21,1.21,0.79,2,12,12
payije8nojdfrbkuq9hj2sph,2025-2026,Bundesliga,1.21,1.21,-1.21,0,6,6
7dayrhr0c60zbc1b6lig8pm8l,2025-2026,Bundesliga,1.2,1.2,-0.2,1,8,8
c0dvcjq2rfqs3jj5g5v2m5zsa,2025-2026,Bundesliga,1.17,1.17,-1.17,0,16,16
4y167h8sn9cnyrvb097lf8lbd,2025-2026,Bundesliga,1.16,1.16,-0.16,1,7,7
csqsdjsa4leo6z86qphjuectm,2025-2026,Bundesliga,1.15,1.15,-1.15,0,11,11
e0hk5aepnpo7cne006zwahfx1,2025-2026,Bundesliga,1.08,1.08,0.92,2,17,17
7xc0qldxpidl07vij2wgu1sk5,2025-2026,Bundesliga,4.22,1.08,-0.08,1,23,19
8p2yagsx6ujdbmeonkd3u4c89,2025-2026,Bundesliga,1.08,1.08,-0.08,1,10,10
64vve6gzn5mwodos6ynufwa5m,2025-2026,Bundesliga,1.07,1.07,-1.07,0,17,17
rvqiq9rz1ur11jb8skb7419m,2025-2026,Bundesliga,1.07,1.07,-1.07,0,19,19
rlgrvvibryod2g92hqc97ii2,2025-2026,Bundesliga,1.06,1.06,-1.06,0,12,12
849wrp9wm8cjyrbshlaukyz56,2025-2026,Bundesliga,1.06,1.06,-1.06,0,17,17
ej8pxizgwjx9qjacvc136yusq,2025-2026,Bundesliga,1.05,1.05,-0.05,1,13,13
x4qyxhfr2vi007sazoqe5vit,2025-2026,Bundesliga,1.04,1.04,-0.04,1,8,8
1hpivlohlnwpw0hyr9gxv5gk4,2025-2026,Bundesliga,1.03,1.03,-0.03,1,5,5
bwrtljwa3px624mxp49xa6psk,2025-2026,Bundesliga,1.03,1.03,-0.03,1,7,7
6tzrulqvl1ytj9907ueeanskq,2025-2026,Bundesliga,1.02,1.02,-0.02,1,7,7
9rglo47kroo6ob6gy7i4poqok,2025-2026,Bundesliga,1.0,1.0,-0.0,1,10,10
4tev0kk0om8cr1xbwpt8bozit,2025-2026,Bundesliga,0.99,0.99,1.01,2,12,12
9ic9msq3tj4gx8wqa6wfwk50q,2025-2026,Bundesliga,0.99,0.99,-0.99,0,14,14
3h6q9lkwovcu4pynltgnzhy50,2025-2026,Bundesliga,0.98,0.98,-0.98,0,4,4
ekl9e2t93vow1buusgdcs3giy,2025-2026,Bundesliga,0.98,0.98,-0.98,0,10,10
4ryipy52oscxkv71ws0os5w5,2025-2026,Bundesliga,0.96,0.96,0.04,1,25,25
spjwukiya1mdmpbk7f4baolw,2025-2026,Bundesliga,0.96,0.96,1.04,2,7,7
6lfje6glfgycun47flgmc9jvt,2025-2026,Bundesliga,0.96,0.96,0.04,1,14,14
dw8cxbn8i288w0rqiemop6qs4,2025-2026,Bundesliga,0.94,0.94,-0.94,0,19,19
1igjz2w9dr9mj5f4ade5plsve,2025-2026,Bundesliga,0.93,0.93,-0.93,0,16,16
8w9qk5a1mf1ecrm9pfncnafx0,2025-2026,Bundesliga,0.93,0.93,0.07,1,6,6
8cho2d1nz18i5o0zt6aysd68l,2025-2026,Bundesliga,0.92,0.92,0.08,1,20,20
8prrhz0d1i4vxkhgro8p42bxl,2025-2026,Bundesliga,0.91,0.91,0.09,1,14,14
8sms9gmdoqxv60nckpyqxflqt,2025-2026,Bundesliga,0.91,0.91,1.09,2,10,10
4skrm2y64va3y5jk70gz4ylpm,2025-2026,Bundesliga,0.9,0.9,1.1,2,7,7
98glpci54ztzmd3yn1kttlvpx,2025-2026,Bundesliga,0.9,0.9,0.1,1,12,12
d2djen6mte9953h6n4y79by1g,2025-2026,Bundesliga,0.9,0.9,1.1,2,5,5
d2ykrr75737c8bzlwhjj90vkl,2025-2026,Bundesliga,0.89,0.89,0.11,1,11,11
2t9287y4uvo424uhvwjpn1jx0,2025-2026,Bundesliga,0.89,0.89,1.11,2,10,10
dn3llv8xjdbbndltfym5ar561,2025-2026,Bundesliga,0.88,0.88,1.12,2,15,15
5nbk2xeyrs7pxdye1jtqudhpl,2025-2026,Bundesliga,0.87,0.87,0.13,1,11,11
55z0yap5tml66nes2cchg7ahh,2025-2026,Bundesliga,0.85,0.85,0.15,1,8,8
a4p1m3cqm6z2p1bw97s6k46ad,2025-2026,Bundesliga,0.85,0.85,-0.85,0,7,7
5ph2ln91ycq1qlq03cnqqs9re,2025-2026,Bundesliga,0.85,0.85,-0.85,0,9,9
2zny241yb0xio4i7k9a5k76s4,2025-2026,Bundesliga,0.85,0.85,1.15,2,12,12
a6cke0ad2pvuyahweuch772ay,2025-2026,Bundesliga,0.84,0.84,-0.84,0,16,16
cl6720rdjeubt0bc3su0qg3qh,2025-2026,Bundesliga,0.8,0.8,-0.8,0,12,12
6x4ywqmispidw0tznzpjwd1hx,2025-2026,Bundesliga,0.8,0.8,0.2,1,11,11
xeybxsihh2ggg35oz4ws6jv8,2025-2026,Bundesliga,0.8,0.8,-0.8,0,5,5
7ush9a10cc79gudlog12crt9l,2025-2026,Bundesliga,0.79,0.79,0.21,1,16,16
ojqb7kv87o0cidbckgtg1rdh,2025-2026,Bundesliga,0.79,0.79,-0.79,0,8,8
e4c4tmuny1mrnofany1sbfy8k,2025-2026,Bundesliga,0.79,0.79,-0.79,0,9,9
dchp4ud6043gahy06jrm7q6i2,2025-2026,Bundesliga,0.79,0.79,0.21,1,4,4
